meal_type,day_of_week,menu_popularity_score,holiday_flag,exam_period_flag,total_registered_students,current_bookings,last_7_day_avg_attendance,actual_attendance
lunch,6,4.23,0,0,225,172,169.1,166
dinner,3,4.45,0,0,150,144,144.2,124
dinner,1,5.27,0,1,200,188,204.9,190
lunch,4,6.4,0,0,250,233,227.5,221
breakfast,5,6.14,1,0,150,55,49.3,53
breakfast,2,1.35,0,0,200,159,134.5,152
breakfast,2,7.76,0,0,200,169,174.6,173
dinner,2,9.54,0,0,225,222,225.0,210
lunch,6,4.14,0,0,200,164,142.4,149
dinner,5,2.62,0,0,225,159,177.0,164
breakfast,0,5.86,0,0,225,186,163.1,184
dinner,5,7.34,0,0,200,162,149.3,160
dinner,0,7.11,0,1,200,176,191.7,190
breakfast,2,6.51,0,0,175,128,128.9,143
breakfast,3,2.32,0,0,200,149,160.6,141
breakfast,3,8.53,0,0,200,164,151.6,165
breakfast,0,4.83,0,0,175,122,127.3,143
lunch,2,2.99,0,0,200,184,176.5,181
lunch,5,1.78,0,0,200,152,155.4,151
breakfast,3,4.75,0,0,150,124,104.9,116
lunch,0,6.56,0,0,250,231,240.2,245
breakfast,5,6.99,0,0,225,158,135.9,161
breakfast,2,9.66,0,0,150,127,113.3,124
lunch,1,2.38,0,0,250,214,203.4,228
lunch,2,9.87,0,0,250,226,234.4,233
dinner,6,6.89,0,0,150,103,111.2,120
breakfast,2,5.09,1,0,175,93,80.0,87
lunch,5,8.99,0,0,225,196,185.3,177
lunch,5,7.25,0,0,250,207,200.0,205
breakfast,4,4.14,0,0,225,169,159.9,162
lunch,4,8.96,0,0,175,153,148.1,162
breakfast,5,7.0,0,0,150,93,107.0,94
breakfast,5,7.29,0,0,200,138,135.5,132
dinner,1,9.07,0,0,150,134,128.6,138
dinner,1,5.04,0,0,175,172,150.8,161
dinner,2,6.91,0,0,200,179,192.1,184
breakfast,6,7.7,0,0,200,135,136.7,133
breakfast,3,5.09,0,0,200,168,159.9,151
dinner,6,1.75,0,0,250,179,183.7,172
lunch,1,7.94,0,0,175,164,165.9,166
breakfast,2,1.43,0,0,200,151,139.7,144
lunch,6,7.46,0,0,200,148,151.3,155
breakfast,0,9.2,0,0,200,180,165.0,169
dinner,4,4.12,0,1,225,212,187.7,210
breakfast,6,1.92,0,0,225,145,139.7,128
lunch,3,3.1,0,0,200,164,184.3,170
breakfast,2,6.06,0,0,225,170,193.7,178
lunch,6,9.48,0,0,150,114,118.5,122
lunch,5,5.61,0,0,175,151,146.5,147
breakfast,0,2.01,0,0,200,163,155.4,152
dinner,4,6.65,0,0,250,208,229.2,219
dinner,0,7.6,0,0,200,199,191.3,190
dinner,2,4.54,0,0,200,172,171.0,178
dinner,1,7.49,0,0,200,180,176.5,184
lunch,4,3.92,0,1,175,145,149.5,166
dinner,0,8.1,0,0,200,198,187.8,187
breakfast,1,4.07,1,0,150,70,78.1,79
breakfast,3,3.3,0,1,200,150,156.1,160
breakfast,2,8.91,0,0,225,201,188.0,192
breakfast,2,5.94,1,0,200,89,102.7,105
lunch,4,3.57,0,0,250,214,226.0,212
breakfast,0,9.42,0,0,175,148,148.4,146
dinner,3,7.22,0,0,175,151,162.9,164
lunch,5,2.99,0,0,200,156,164.9,157
breakfast,4,6.53,0,0,250,183,198.9,183
lunch,5,8.83,0,0,200,180,171.5,176
breakfast,4,7.27,0,0,250,178,199.9,188
dinner,0,3.2,0,0,200,172,191.2,173
breakfast,3,6.84,0,0,225,190,176.6,187
dinner,0,6.57,0,1,250,229,242.0,234
dinner,2,8.39,0,0,200,199,198.1,193
breakfast,5,2.6,0,1,200,131,129.8,129
breakfast,1,7.3,0,0,200,157,178.9,170
dinner,6,1.25,0,0,225,145,151.1,155
dinner,2,7.27,0,0,175,172,152.3,163
dinner,2,9.64,0,0,225,216,216.3,218
dinner,5,2.57,0,0,225,157,148.8,159
breakfast,4,3.8,0,0,200,131,131.3,149
lunch,2,6.25,0,0,150,147,151.4,140
breakfast,6,7.59,0,0,225,156,138.6,152
dinner,3,4.1,0,1,175,167,145.4,155
lunch,2,6.98,0,0,250,234,231.1,237
lunch,3,9.09,0,0,150,150,149.6,139
breakfast,0,7.54,0,0,225,179,174.2,181
breakfast,4,7.4,1,0,200,86,89.6,87
breakfast,3,4.44,0,1,225,188,168.6,185
dinner,2,9.2,0,0,200,193,180.4,182
lunch,4,3.5,1,0,200,117,120.2,105
dinner,6,2.85,0,0,150,117,114.0,98
lunch,4,4.28,0,0,250,215,223.1,209
breakfast,3,6.85,0,1,150,123,131.7,123
dinner,3,8.76,0,1,250,250,240.3,230
dinner,1,2.19,0,0,200,164,161.7,174
lunch,1,8.32,0,1,175,151,150.0,161
dinner,4,8.32,0,0,200,180,176.8,175
lunch,5,6.28,1,0,200,89,100.9,100
lunch,5,7.85,1,0,225,114,125.7,114
lunch,1,2.64,0,0,150,145,133.9,140
breakfast,2,2.53,0,0,250,202,202.1,185
breakfast,0,8.77,0,0,200,162,180.0,171
breakfast,4,5.48,0,0,200,151,156.3,139
lunch,0,3.21,0,0,200,177,173.7,182
breakfast,1,7.2,0,0,175,149,150.5,139
lunch,3,9.03,0,0,175,170,164.2,158
dinner,6,6.69,0,0,150,100,105.8,116
breakfast,4,4.13,0,0,225,166,148.6,163
lunch,1,5.35,0,0,175,152,148.4,173
dinner,2,7.77,0,0,225,225,200.4,208
breakfast,6,1.61,0,0,175,98,104.8,99
breakfast,4,2.95,0,0,175,124,132.8,118
breakfast,4,5.16,0,0,175,128,121.8,128
breakfast,5,6.44,1,0,225,72,80.9,87
dinner,3,4.05,0,0,175,143,150.9,148
dinner,4,3.69,1,0,150,77,73.0,76
lunch,3,1.37,0,0,150,138,135.2,130
dinner,1,1.29,0,0,200,189,174.1,182
dinner,2,3.51,0,0,250,218,237.2,221
